_id,aula,sede,polo,inDate,date,posto,outDate
5fa8f81f1bd2a03f4641a1a0,3,1,3,2020-11-09T08:04:47.486Z,2020-11-09,6,2020-11-09T12:05:00.401Z
5fa8f81f1bd2a03f4641a1a1,4,2,4,2020-11-09T08:04:47.904Z,2020-11-09,12,2020-11-09T12:05:00.401Z
5fa8f8201bd2a03f4641a1a2,8,2,4,2020-11-09T08:04:48.727Z,2020-11-09,3,2020-11-09T12:05:00.402Z
5fa8f8241bd2a03f4641a1a3,8,2,4,2020-11-09T08:04:52.484Z,2020-11-09,4,2020-11-09T12:05:00.403Z
5fa8f8271bd2a03f4641a1a4,8,2,4,2020-11-09T08:04:55.845Z,2020-11-09,5,2020-11-09T12:05:00.405Z
5fa8f82c1bd2a03f4641a1a5,8,2,4,2020-11-09T08:05:00.176Z,2020-11-09,6,2020-11-09T12:00:29.518Z
5fa8f82e1bd2a03f4641a1a6,8,2,4,2020-11-09T08:05:02.490Z,2020-11-09,7,2020-11-09T12:03:16.473Z
5fa8f8321bd2a03f4641a1a7,8,2,4,2020-11-09T08:05:06.228Z,2020-11-09,8,2020-11-09T12:05:00.405Z
5fa8f8391bd2a03f4641a1a8,9,2,4,2020-11-09T08:05:13.572Z,2020-11-09,1,2020-11-09T09:57:57.105Z
5fa8f8391bd2a03f4641a1a9,8,2,4,2020-11-09T08:05:13.919Z,2020-11-09,9,2020-11-09T12:03:48.489Z
5fa8f8401bd2a03f4641a1aa,4,2,4,2020-11-09T08:05:20.260Z,2020-11-09,13,2020-11-09T11:55:41.439Z
5fa8f84d1bd2a03f4641a1ab,1,1,5,2020-11-09T08:05:33.435Z,2020-11-09,3,2020-11-09T10:13:34.003Z
5fa8f8521bd2a03f4641a1ac,1,1,5,2020-11-09T08:05:38.430Z,2020-11-09,4,2020-11-09T10:13:39.165Z
5fa8f8521bd2a03f4641a1ad,3,1,3,2020-11-09T08:05:38.819Z,2020-11-09,7,2020-11-09T12:02:30.768Z
5fa8f8561bd2a03f4641a1ae,1,1,5,2020-11-09T08:05:42.621Z,2020-11-09,5,2020-11-09T09:55:27.698Z
5fa8f8591bd2a03f4641a1af,1,1,5,2020-11-09T08:05:45.888Z,2020-11-09,6,2020-11-09T09:55:26.764Z
5fa8f89a1bd2a03f4641a1b0,3,1,3,2020-11-09T08:06:50.901Z,2020-11-09,8,2020-11-09T12:05:00.406Z
5fa8f8a51bd2a03f4641a1b1,9,2,4,2020-11-09T08:07:01.759Z,2020-11-09,2,2020-11-09T09:59:03.636Z
5fa8f8b31bd2a03f4641a1b2,1,1,5,2020-11-09T08:07:15.570Z,2020-11-09,7,2020-11-09T10:20:27.131Z
5fa8f8ba1bd2a03f4641a1b3,1,1,5,2020-11-09T08:07:22.166Z,2020-11-09,8,2020-11-09T10:16:38.391Z
5fa8f8c11bd2a03f4641a1b4,1,1,5,2020-11-09T08:07:29.259Z,2020-11-09,9,2020-11-09T09:55:38.070Z
5fa8f8c41bd2a03f4641a1b5,2,1,2,2020-11-09T08:07:32.639Z,2020-11-09,9,2020-11-09T10:03:52.633Z
5fa8f8c51bd2a03f4641a1b6,1,1,5,2020-11-09T08:07:33.199Z,2020-11-09,10,2020-11-09T09:55:28.699Z
5fa8f8cc1bd2a03f4641a1b7,1,1,5,2020-11-09T08:07:40.888Z,2020-11-09,11,2020-11-09T10:08:59.281Z
5fa8f8cf1bd2a03f4641a1b8,1,1,5,2020-11-09T08:07:43.361Z,2020-11-09,12,2020-11-09T09:55:51.698Z
5fa8f8d11bd2a03f4641a1b9,1,1,5,2020-11-09T08:07:45.968Z,2020-11-09,13,2020-11-09T10:13:45.915Z
5fa8f8d61bd2a03f4641a1ba,1,1,5,2020-11-09T08:07:50.491Z,2020-11-09,14,2020-11-09T10:13:45.605Z
5fa8f8d91bd2a03f4641a1bb,1,1,5,2020-11-09T08:07:53.086Z,2020-11-09,15,2020-11-09T10:13:48.187Z
